description,sku,price,retail,uri,img
TOMATE ITALIANO X KG VERDURAS - 1KG ES APROX. 8UN,tottus-tomate-italiano-10162958/p/,s/ 2.19 KG,tottus,https://www.tottus.com.pe/tottus-tomate-italiano-10162958/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-a70BxXci.jpg
Azúcar Rubia Wong Bolsa 1 kg,116641,S/. 3.30,wong,https://www.wong.pe/azucar-rubia-wong-bolsa-1-kg-116641/p,https://wongfood.vteximg.com.br/arquivos/ids/285492-1000-1000/116641-01-838.jpg?v=636900948358500000
Azúcar Rubia Metro Bolsa 1 kg,116642,S/. 3.10,metro,https://www.metro.pe/azucar-rubia-metro-bolsa-1-kg-116642/p,https://wongfood.vteximg.com.br/arquivos/ids/354342-1000-1000/Azucar-Rubia-Metro-Bolsa-1-kg-1-18963.jpg?v=637232832111500000
Azúcar Rubia BELL'S Bolsa 1Kg,6757,S/ 3.10,plaza_vea,https://www.plazavea.com.pe/azucar-rubia-bells-bolsa-1-kg/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Azúcar Rubia BELL'S Bolsa 1Kg,6757,S/ 3.20,vivanda,https://www.vivanda.com.pe/azucar-rubia-bells-bolsa-1-kg/p,https://vivanda.vteximg.com.br/arquivos/ids/185007-618-618/6757.jpg?v=637274016913170000
AZUCAR RUBIA TOTTUS - BOLSA 1 KG,tottus-azucar-rubia-40546552/p/,s/ 4.49,tottus,https://www.tottus.com.pe/tottus-azucar-rubia-40546552/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-bqha31ER.jpg
Lenteja Costeño Bolsa 500 g,30037,S/. 5.39,wong,https://www.wong.pe/lenteja-costeno-bolsa-500-g-30037/p,https://wongfood.vteximg.com.br/arquivos/ids/155984-1000-1000/Lenteja-Costeno-Bolsa-500-g-30037.jpg?v=636052204470630000
Lenteja Costeño Bolsa 500 g,30037,S/. 5.10,metro,https://www.metro.pe/lenteja-costeno-bolsa-500-g-30037/p,https://wongfood.vteximg.com.br/arquivos/ids/155984-1000-1000/Lenteja-Costeno-Bolsa-500-g-30037.jpg?v=636052204470630000
Lenteja COSTEÑO Bolsa 500g,995413,S/ 5.00,plaza_vea,https://www.plazavea.com.pe/lenteja-costeno-bolsa-500g/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Lenteja COSTEÑO Bolsa 500g,995413,S/ 5.39,vivanda,https://www.vivanda.com.pe/lenteja-costeno-bolsa-500g/p,https://vivanda.vteximg.com.br/arquivos/ids/169107-618-618/995413.jpg?v=636137851663230000
LENTEJA COSTENO - BOLSA 500 GR,costeno-lenteja-10167792/p/,s/ 5.6,tottus,https://www.tottus.com.pe/costeno-lenteja-10167792/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-txJPW2P7.jpg
Spaghetti Nro 34 Don Vittorio Bolsa 500 g,11112,S/. 3.09,wong,https://www.wong.pe/spaghetti-nro-34-don-vittorio-bolsa-500-g-11112/p,https://wongfood.vteximg.com.br/arquivos/ids/364060-1000-1000/frontal-3159.jpg?v=637280352205000000
Spaghetti Nro 34 Don Vittorio Bolsa 500 g,11112,S/. 2.89,metro,https://www.metro.pe/spaghetti-nro-34-don-vittorio-bolsa-500-g-11112/p,https://wongfood.vteximg.com.br/arquivos/ids/364060-1000-1000/frontal-3159.jpg?v=637280352205000000
Spaghetti DON VITTORIO Bolsa 500g,1107105002,S/ 2.79,plaza_vea,https://www.plazavea.com.pe/spaghetti-don-vittorio-bolsa-500g/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Spaghetti DON VITTORIO Bolsa 500g,1107105002,S/ 3.09,vivanda,https://www.vivanda.com.pe/spaghetti-don-vittorio-bolsa-500g/p,https://vivanda.vteximg.com.br/arquivos/ids/161402-618-618/1107105002.jpg?v=636137720245870000
FIDEO SPAGHETTI DON-VITTORIO - BOLSA 500 GR,don-vittorio-fideo-spaghetti-40747602/p/,s/ 2.8,tottus,https://www.tottus.com.pe/don-vittorio-fideo-spaghetti-40747602/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-cH17t48x.jpg
Queso Edam Braedt en Tajadas Paquete 200 g,752207,S/. 8.29,wong,https://www.wong.pe/quedo-edam-braedt-en-tajadas-paquete-200-g-752207/p,https://wongfood.vteximg.com.br/arquivos/ids/302920-1000-1000/Queso-Edam-Braedt-en-Tajadas-Paquete-200-g-1-34322518.jpg?v=636962292853130000
Queso Edam Braedt en Tajadas Paquete 200 g,752207,S/. 8.50,metro,https://www.metro.pe/quedo-edam-braedt-en-tajadas-paquete-200-g-752207/p,https://wongfood.vteximg.com.br/arquivos/ids/302920-1000-1000/Queso-Edam-Braedt-en-Tajadas-Paquete-200-g-1-34322518.jpg?v=636962292853130000
Queso Edam BRAEDT Paquete 200g,20172513,S/ 10.49,plaza_vea,https://www.plazavea.com.pe/queso-edam-braedt-paquete-200g/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Queso Edam BRAEDT Paquete 200g,20172513,S/ 10.49,vivanda,https://www.vivanda.com.pe/queso-edam-braedt-paquete-200g/p,https://vivanda.vteximg.com.br/arquivos/ids/178284-618-618/20172513.jpg?v=636946620917700000
QUESO EDAM BRAEDT - PAQUETE 200 GR,braedt-queso-edam-41848153/p/,s/ 9.09,tottus,https://www.tottus.com.pe/braedt-queso-edam-41848153/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-5muTVmC4.jpg
Yogurt Parcialmente Descremado Fresa Gloria Botella 1 kg,48255001,S/. 5.40,wong,https://www.wong.pe/yogurt-parcialmente-descremado-fresa-gloria-botella-1-kg-48255001/p,https://wongfood.vteximg.com.br/arquivos/ids/354767-1000-1000/frontal-1968.jpg?v=637237044345970000
Yogurt Parcialmente Descremado Fresa Gloria Botella 1 kg,48255001,S/. 5.40,metro,https://www.metro.pe/yogurt-parcialmente-descremado-fresa-gloria-botella-1-kg-48255001/p,https://wongfood.vteximg.com.br/arquivos/ids/354767-1000-1000/frontal-1968.jpg?v=637237044345970000
Yogurt Bebible GLORIA Fresa Botella 1Kg,20192547,S/ 5.40,plaza_vea,https://www.plazavea.com.pe/yogurt-bebible-gloria-fresa-botella-1kg/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
YOGURT FRESA GLORIA - BOTELLA 1 KG,gloria-yogurt-fresa-gloria-x-1kg-42084737/p/,s/ 6.49,tottus,https://www.tottus.com.pe/gloria-yogurt-fresa-gloria-x-1kg-42084737/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-zCeSyW4b.jpg
Mantequilla Laive Con Sal Pote 200 g,466522,S/. 9.99,wong,https://www.wong.pe/mantequilla-laive-con-sal-pote-200-g-466522/p,https://wongfood.vteximg.com.br/arquivos/ids/354473-1000-1000/466522-01-2515.jpg?v=637233588560000000
